fcstype,filename,filepath,TotalEvents,NumOfPar,Creator,Timestep,starttime,stoptime,totaltime,cytometry,date,byteorder,datatype,system,project,experiment,cells,creator,fullpath,dir,PlateName,Day,col,row,Strain,well,WellContentAlias,ActualStrainID,ID,TMRE,TMRE_N,O2,VitC,NCells,TotalTime,TotalVolume,CellDensity,NCellsAfterFiltering,mean_FITC_A,median_FITC_A,mode_FITC_A,std_FITC_A,var_FITC_A,Noise_FITC_A,NoiseSq_FITC_A,NoiseStrength_FITC_A,mean_PE_A,median_PE_A,mode_PE_A,std_PE_A,var_PE_A,Noise_PE_A,NoiseSq_PE_A,NoiseStrength_PE_A,mean_CFSE_over_SSC,median_CFSE_over_SSC,mode_CFSE_over_SSC,std_CFSE_over_SSC,var_CFSE_over_SSC,Noise_CFSE_over_SSC,NoiseSq_CFSE_over_SSC,NoiseStrength_CFSE_over_SSC,mean_CFSE_over_FSC,median_CFSE_over_FSC,mode_CFSE_over_FSC,std_CFSE_over_FSC,var_CFSE_over_FSC,Noise_CFSE_over_FSC,NoiseSq_CFSE_over_FSC,NoiseStrength_CFSE_over_FSC,mean_TMRE_over_SSC,median_TMRE_over_SSC,mode_TMRE_over_SSC,std_TMRE_over_SSC,var_TMRE_over_SSC,Noise_TMRE_over_SSC,NoiseSq_TMRE_over_SSC,NoiseStrength_TMRE_over_SSC,mean_TMRE_over_FSC,median_TMRE_over_FSC,mode_TMRE_over_FSC,std_TMRE_over_FSC,var_TMRE_over_FSC,Noise_TMRE_over_FSC,NoiseSq_TMRE_over_FSC,NoiseStrength_TMRE_over_FSC,mean_CFSE_over_TMRE,median_CFSE_over_TMRE,mode_CFSE_over_TMRE,std_CFSE_over_TMRE,var_CFSE_over_TMRE,Noise_CFSE_over_TMRE,NoiseSq_CFSE_over_TMRE,NoiseStrength_CFSE_over_TMRE,mean_SSC_A,median_SSC_A,mode_SSC_A,std_SSC_A,var_SSC_A,Noise_SSC_A,NoiseSq_SSC_A,NoiseStrength_SSC_A,mean_FSC_A,median_FSC_A,mode_FSC_A,std_FSC_A,var_FSC_A,Noise_FSC_A,NoiseSq_FSC_A,NoiseStrength_FSC_A
FCS3.0,20171024_H1.fcs,FCS/DAY1/,2936,32,BD FACSDiva Software Version 6.2,0.01,19:16:51,19:17:31,39.9999942630529,LSRFortessa,20171024,"4,3,2,1",F,Windows XP 5.1,0,0,0,BD FACSDiva Software Version 6.2,,,DAY1,1,1,A,xxx,A1,xxx,xxx,H1,H,3,L,0,2936,38.8339990234375,0.0388339990234375,75603.8541955989,1973,3624.21788053517,3107.51977539062,2653.81378707349,1510.6799669658,2282153.9625918,0.416829235096298,0.173746611230965,629.695575105657,35591.724581193,30596.890625,22709.9383172955,21787.2392719304,474683795.092348,0.612143399295774,0.374719541301385,13336.9147091899,0.0418141327106998,0.040147921686663,0.0367502962886348,0.0128650923182038,0.000165510600355906,0.30767330288096,0.0946628613056791,0.00395824544541023,0.0235321410719705,0.0215052714018853,0.0174383302605596,0.00837197396125019,7.00899480078512e-05,0.355767625888584,0.1265706036304,0.00297847730019503,0.410344058886347,0.359033087692958,0.295774807713502,0.209799828228849,0.0440159679248544,0.511277850100315,0.261405040003201,0.107266005128261,0.224400423701879,0.1978354942053,0.162624142443004,0.113104474435891,0.0127926221374192,0.504029683055113,0.254045921400638,0.0570080124020374,0.145688626610473,0.110898976706938,0.0656338056141973,0.200038136321169,0.0400152559828467,1.37305252287133,1.88527323056334,0.274662867746261,90230.7287235096,82892.15625,65300.0715155357,36044.499615324,1299205952.51909,0.399470337048632,0.159576550181747,14398.7084100828,155017.88537839,150266.921875,145565.062351754,34327.5379388778,1178379860.94509,0.22144243456222,0.0490367518248433,7601.57357371209
FCS3.0,20171024_H2.fcs,FCS/DAY1/,2847,32,BD FACSDiva Software Version 6.2,0.01,19:17:49,19:18:25,35.999995842576,LSRFortessa,20171024,"4,3,2,1",F,Windows XP 5.1,0,0,0,BD FACSDiva Software Version 6.2,,,DAY1,1,1,A,xxx,A1,xxx,xxx,H2,H,3,L,0,2847,34.3910009765625,0.0343910009765625,82783.2839742069,1970,3581.16120909095,3049.40979003906,2825.1757741601,1761.40712710954,3102555.06743229,0.491853626314873,0.241919989719091,866.354482885691,32593.3698612891,28118.8955078125,21417.558665704,20685.5303324788,427891165.1359,0.634654545403323,0.402786392001099,13128.165849586,0.0416199621261784,0.040167773282042,0.0366811774360096,0.0118447380988411,0.000140297820630138,0.284592716901847,0.080993014513575,0.00337092619654001,0.0230906088627229,0.0210633651266337,0.0183490987752916,0.00836799207384012,7.0023291347851e-05,0.36239806943113,0.13133236072741,0.00303254417257465,0.381581210800792,0.339229784892705,0.273078438894234,0.190594519344407,0.0363262708041254,0.499486122349741,0.24948638641998,0.0951993174084502,0.205261351697457,0.182297653860075,0.149950550997391,0.103004218833799,0.0106098690975611,0.501819840812608,0.251823152633191,0.0516895606982039,0.159175713919265,0.115761702459348,0.135037770081373,0.273724624079909,0.0749251698276877,1.71963811149447,2.95715523450426,0.470707295622309,88957.9179350412,80653.9453125,68833.7452527747,35839.5605553171,1284474100.79824,0.40288218729993,0.162314056843576,14439.1205483945,155094.872208122,150575.6796875,146563.510940743,34782.1505347003,1209797995.81855,0.224263704141205,0.0502942089951341,7800.37391690889
FCS3.0,20171024_H3.fcs,FCS/DAY1/,3707,32,BD FACSDiva Software Version 6.2,0.01,19:18:36,19:19:37,61.0000010579824,LSRFortessa,20171024,"4,3,2,1",F,Windows XP 5.1,0,0,0,BD FACSDiva Software Version 6.2,,,DAY1,1,1,A,xxx,A1,xxx,xxx,H3,H,3,L,1,3707,60.1460009765625,0.0601460009765625,61633.3578261426,2541,4290.89986407968,3234.65991210938,2734.94799012108,3050.25205528809,9304037.60078924,0.710865355032543,0.505329552985544,2168.31851022112,42475.7285906879,33203.19140625,25313.128292163,33264.4259285161,1106522032.35373,0.783139619547544,0.613307663705072,26050.6898661255,0.0422117792426276,0.0404809007682232,0.0380592988364163,0.0127922399866005,0.000163641403874781,0.30304905919915,0.09183873228149,0.00387667629298903,0.0249298930363309,0.0218860587154696,0.0181749747297348,0.0114564132086469,0.00013124940360726,0.459545221150819,0.211181810282555,0.00526473994156281,0.419695262732831,0.380609701776433,0.315900486569956,0.213649076784879,0.0456459280110311,0.509057632420511,0.259139673125576,0.108759693196938,0.241100009201261,0.20831382846575,0.173315569939637,0.136192557405972,0.018548412692779,0.564879934501719,0.319089340402666,0.076932442907107,0.147000454064871,0.106661317244484,0.0763855647576931,0.22204244908502,0.0493028491956737,1.51048818520678,2.28157455764927,0.3353924959573,101828.580214175,88210.1953125,71259.6673472404,50260.2690138178,2526094641.34133,0.493577234486682,0.243618486403521,24807.3245843969,166370.138272949,157028.015625,151353.461596167,44930.6745426194,2018765514.85478,0.270064538077775,0.0729348547271618,12134.1818658753
FCS3.0,20171024_H4.fcs,FCS/DAY1/,3826,32,BD FACSDiva Software Version 6.2,0.01,19:19:55,19:21:12,76.9999947398901,LSRFortessa,20171024,"4,3,2,1",F,Windows XP 5.1,0,0,0,BD FACSDiva Software Version 6.2,,,DAY1,1,1,A,xxx,A1,xxx,xxx,H4,H,3,L,1,3826,76.127998046875,0.076127998046875,50257.4624075124,2467,4011.56324646528,3082.55981445312,3001.95485151262,2864.05494407046,8202810.72265445,0.713949841522272,0.509724376209678,2044.79157343019,39368.0825773254,31791.5,25626.9949440285,30274.1815409081,916526067.971859,0.769003201551526,0.591365923996497,23280.9425293104,0.0408389378114644,0.0396645996068278,0.0365082261422633,0.0126789827899118,0.00016075660458688,0.310463089134325,0.096387329714828,0.00393635616403697,0.0237898053023655,0.021021018303911,0.0175426759554612,0.0109799698019607,0.000120559736851968,0.461540969436555,0.213020066468435,0.00506770590678103,0.405518671685544,0.364023079542827,0.327761090599413,0.218303225633687,0.0476562983220726,0.538330885545435,0.289800142332132,0.117519368772808,0.227804352978793,0.199719603949685,0.170510387406622,0.128938225675073,0.0166250660402359,0.566004222435012,0.320360779814263,0.0729795801653696,0.16323367051372,0.109626313858737,0.105850067445884,0.27252735815525,0.0742711609430801,1.66955357493076,2.78740913956406,0.454999025074533,99294.8463451941,86544.8984375,73016.9078530721,47527.859928168,2258897469.35155,0.478653844359047,0.229109502719694,22749.3928687759,163903.392673921,155884.734375,146666.990709394,43537.789406787,1895539106.42974,0.265630800537508,0.0705597221941971,11564.9778537583
FCS3.0,20171024_HA.fcs,FCS/DAY1/,2969,32,BD FACSDiva Software Version 6.2,0.01,19:00:31,19:01:06,35.0000012665987,LSRFortessa,20171024,"4,3,2,1",F,Windows XP 5.1,0,0,0,BD FACSDiva Software Version 6.2,,,DAY1,1,1,A,xxx,A1,xxx,xxx,HA,H,3,N,0,2969,33.725,0.033725,88035.5819125278,1996,3531.13646072663,3003,2696.01166856613,1948.24288246106,3795650.32906017,0.551732538271872,0.304408793787923,1074.90899071035,32203.1832314837,27746.041015625,20736.4837302184,19500.2998701847,380261695.027124,0.605539512352308,0.366678101019871,11808.2020741154,0.0428302225109534,0.0416854444133356,0.0412248109187342,0.0122295447026225,0.000149561763633441,0.285535399670055,0.0815304644647379,0.0034919679344461,0.0225203880346434,0.0202635476080653,0.0190136655905798,0.00896608370841821,8.03906570663625e-05,0.39813184811139,0.158508968480591,0.00356968347715397,0.397661681440929,0.345603334673343,0.288488444063377,0.211299059345289,0.044647292480204,0.531353834695981,0.282336897646124,0.112274565450773,0.200662907546836,0.175204677761108,0.154819575788636,0.100651824732442,0.0101307898219701,0.501596562927051,0.251599111940231,0.0504866093381286,0.157178421217727,0.117396076590284,0.0803647146313667,0.214872289282637,0.0461701007015613,1.36705972497963,1.86885229166137,0.293743252692464,85379.1222053482,76845.98828125,64339.4411025006,35051.9631995474,1228640124.14242,0.410544900136625,0.168547115028191,14390.4047313508,156871.481165456,152591.921875,147620.368264668,33956.131106397,1153018839.71482,0.216458280715682,0.0468541872903888,7350.08575904698
FCS3.0,20171024_HB.fcs,FCS/DAY1/,2984,32,BD FACSDiva Software Version 6.2,0.01,19:01:37,19:02:13,35.999995842576,LSRFortessa,20171024,"4,3,2,1",F,Windows XP 5.1,0,0,0,BD FACSDiva Software Version 6.2,,,DAY1,1,1,A,xxx,A1,xxx,xxx,HB,H,3,N,0,2984,34.3480004882813,0.0343480004882813,86875.508256094,2043,3534.035170142,2985.83984375,2711.28327759854,1597.70424408471,2552658.8515663,0.452090646291026,0.204385952463838,722.307144290173,32786.0779646595,28043.521484375,23028.027169224,20766.2726101391,431238078.118614,0.633386909911071,0.401178977646695,13153.0852389069,0.0422357159089862,0.0410499531982725,0.0399486625721193,0.0114889812436434,0.000131996690016789,0.272020516200104,0.073995161233771,0.00312523860850918,0.0226197875750251,0.0204401603233996,0.0179735510935856,0.00784461081383951,6.15379188206077e-05,0.346803027562508,0.120272339926522,0.00272053478028913,0.397634578558685,0.348767943698623,0.277998632685334,0.210737003775786,0.0444100847603956,0.529976554201219,0.280875148002998,0.11168567110378,0.204154436509624,0.182822144715048,0.150161375656514,0.102734406609664,0.0105543583014398,0.503219074569664,0.253229437010749,0.0516979130205788,0.171231429145492,0.116883935000231,0.0593584921751598,0.33821692864821,0.114390690824229,1.97520356126231,3.90142910842331,0.668047281945146,87074.8007114614,78143.515625,67420.7757276592,36946.2718881244,1365027006.43121,0.424304983603153,0.180034719110472,15676.4872876883,156598.907542523,151315.96875,146640.46002331,36706.5537623161,1347371089.1058,0.234398530221858,0.0549426709701672,8603.9622513965
FCS3.0,20171024_HC.fcs,FCS/DAY1/,4200,32,BD FACSDiva Software Version 6.2,0.01,19:02:29,19:03:33,63.9999948441982,LSRFortessa,20171024,"4,3,2,1",F,Windows XP 5.1,0,0,0,BD FACSDiva Software Version 6.2,,,DAY1,1,1,A,xxx,A1,xxx,xxx,HC,H,3,N,1,4200,63.4789990234375,0.0634789990234375,66163.614181271,2624,4562.03643031237,3125.06994628906,2775.88619989657,4294.0558719862,18438915.8317392,0.941258566778299,0.885967689533537,4041.81687573167,38192.8136574466,28111.861328125,19941.4577110977,34669.5087797144,1201974839.02669,0.907749533476823,0.824009215527389,31471.2304206563,0.0436239189711447,0.041932656200764,0.0408290503267568,0.0155735895794936,0.00024253669239051,0.356996573136742,0.127446553231377,0.00555971811131727,0.0248360875367774,0.0207194263719549,0.0170728171618747,0.0153149081682919,0.000234546412203215,0.616639321536194,0.380244052864618,0.00944377458228466,0.374790521337401,0.327405574147806,0.295091960327336,0.209577129870787,0.0439225733648768,0.559184712363944,0.312687542541546,0.117192327084857,0.204391729700743,0.170446755732261,0.135310837731661,0.133983472882186,0.0179515710055714,0.655522966014112,0.429710358971938,0.0878292435406017,0.208441133252327,0.126037618819956,0.101888513419803,0.50635783661524,0.256398258701666,2.42926062008247,5.90130716028347,1.23007515215956,102117.399302413,84230.63671875,64378.2335957236,55686.8656758141,3101027008.79616,0.54532201227434,0.297376097070935,30367.2736475858,173105.438065692,161592.4609375,151014.569388783,49451.0846045581,2445409768.56716,0.285670312597528,0.0816075274995691,14126.7067972709
FCS3.0,20171024_HD.fcs,FCS/DAY1/,3004,32,BD FACSDiva Software Version 6.2,0.01,19:03:47,19:05:43,115.999994426966,LSRFortessa,20171024,"4,3,2,1",F,Windows XP 5.1,0,0,0,BD FACSDiva Software Version 6.2,,,DAY1,1,1,A,xxx,A1,xxx,xxx,HD,H,3,N,1,3004,114.927998046875,0.114927998046875,26138.1043005272,1519,4266.93720317436,3045.11987304688,2841.31295661261,3975.06688898838,15801156.7719317,0.931597232326539,0.867873403278467,3703.16131209444,38157.3955353768,29067.28125,21675.241193833,34059.8109547775,1160070722.27518,0.892613619899704,0.796759074430453,30402.2511494435,0.0443218508757381,0.0428617412563002,0.039299221656933,0.015252474613826,0.000232637981845405,0.344129911374599,0.11842539590269,0.00524883273709926,0.024428256216247,0.0208103729062178,0.0185254393394021,0.0145354268937843,0.000211278634984547,0.595025153048661,0.354054932760583,0.00864894461210161,0.406665270561626,0.350439120715802,0.307563684944658,0.231030143048853,0.0533749269971733,0.568108859479906,0.322747676219559,0.131250271072963,0.213837320387449,0.178953972580185,0.13926386324844,0.137215821518696,0.0188281816750507,0.641683225688,0.411757362129356,0.0880490909675459,0.21187029781021,0.120192296823648,0.322829035092883,0.941898414602268,0.887172623430267,4.44563690303587,19.7636874736344,4.18733835086682,94900.4713344511,79648.140625,66438.5388336312,50808.5862239615,2581512434.07773,0.53538813358366,0.286640453582195,27202.3141484712,165441.480810772,157117.921875,150663.705709885,45505.8971592971,2070786676.27252,0.275057361287437,0.0756565519984078,12516.7319956538
FCS3.0,20171024_L1.fcs,FCS/DAY1/,2633,32,BD FACSDiva Software Version 6.2,0.01,19:06:33,19:07:16,42.9999981075525,LSRFortessa,20171024,"4,3,2,1",F,Windows XP 5.1,0,0,0,BD FACSDiva Software Version 6.2,,,DAY1,1,1,A,xxx,A1,xxx,xxx,L1,L,1,L,0,2633,41.3939990234375,0.0413939990234375,63608.2539043686,1754,3342.15712722378,2859.08984375,2404.5017120103,1340.88440858251,1797970.99717967,0.401203282054049,0.160964073530941,537.967225578406,22972.19431659,18417.9658203125,14394.8854371221,16219.1822364563,263061872.419378,0.706035392741874,0.498485975804173,11451.3167002684,0.0511936509353129,0.0489602433505031,0.0442903437588561,0.0167616539844316,0.000280953044293813,0.327416655741378,0.107201666456868,0.00548804469227676,0.0231681379436628,0.0206531175294181,0.0181144794792551,0.00868645435081795,7.54544891888442e-05,0.374931052807978,0.140573294359699,0.00325682147492062,0.341005908381689,0.295201749290867,0.237292960545429,0.206402097924296,0.0426018260275506,0.6052742572814,0.366356926527551,0.124929876522451,0.152965271831402,0.131020214457571,0.11054273850578,0.0925728074338595,0.00856972467618642,0.605188395545709,0.36625299410319,0.0560239888020593,0.224825022142933,0.165602643108919,0.112848684971355,0.260410082036515,0.0678134108262643,1.15827891199298,1.34161003796765,0.301627506493257,68989.8272792768,63202.228515625,53728.0343076909,28500.239005966,812263623.397184,0.413107846909002,0.170658093177791,11773.6723721465,145982.964536417,142528.390625,135450.133080726,31801.0332976057,1011305718.79543,0.217840714487427,0.0474545768883927,6927.55981498889
FCS3.0,20171024_L2.fcs,FCS/DAY1/,2581,32,BD FACSDiva Software Version 6.2,0.01,19:07:45,19:08:23,38.0000051110983,LSRFortessa,20171024,"4,3,2,1",F,Windows XP 5.1,0,0,0,BD FACSDiva Software Version 6.2,,,DAY1,1,1,A,xxx,A1,xxx,xxx,L2,L,1,L,0,2581,37.8380004882813,0.0378380004882813,68211.8496403994,1764,3241.32348529011,2779.13989257812,2514.57009568216,1262.47691556851,1593847.96234338,0.389494267171398,0.151705784159384,491.727521050164,23034.5534742533,19390.4697265625,13450.8289565644,15448.7751135752,238664652.509821,0.670678297751376,0.449809379074683,10361.1581955164,0.0502523916391587,0.0480086830564624,0.0437117522077285,0.0149061944752298,0.00022219463373337,0.296626568189329,0.0879873209557784,0.00442157331195013,0.0224140221530003,0.0201850526234453,0.0181274175131744,0.00777044949238433,6.03798853136959e-05,0.346678049987748,0.120185670343307,0.00269384427754808,0.348320838093436,0.305420823479207,0.269152950800675,0.20113927070399,0.0404570062193328,0.577454027169154,0.333453153493874,0.116148681889885,0.154761865382495,0.13444386361846,0.100816660816572,0.0933270588131805,0.00870993990671886,0.603036533467222,0.363653060696164,0.056279626025392,0.236334780916889,0.158067374612665,0.200518172095265,0.634021580858002,0.401983364993679,2.68272650516457,7.19702150151253,1.70090649981411,67569.2246359481,62932.34765625,54381.7354680332,26480.6938740647,701227148.051927,0.391904658026465,0.153589260982841,10377.9072770188,145767.407485651,142415.2421875,139868.836017531,30970.6584598364,959181685.435833,0.21246627757227,0.0451419191054167,6580.22051692355
