"X","S1_TPM","M1_TPM","F1_TPM","S2_TPM","M2_TPM","F2_TPM","gene_name","slope_1","slope_2"
"9619","ENSMUSG00000034259",15.16175,15.83325,17.0143,15.2206,17.9647265,18.6898,"EXOSC4",0.926274999999996,1.7346
"9642","ENSMUSG00000034321",24.6424385,28.9365935,32.7907575,26.498935,30.058675,37.698853,"EXOSC1",4.0741595,5.59995899999999
"9654","ENSMUSG00000034345",64.46855,70.95293,76.70927,69.753205,73.569825,77.938695,"GTF2H5",6.12036,4.09274499999999
"10136","ENSMUSG00000035754",17.1884,18.10225,18.93125,16.0057,20.01125,21.45675,"WDR18",0.871424999999994,2.72552499999999
"10336","ENSMUSG00000036376",15.7631,16.9029,17.0311,14.7225,16.41095,16.42345,"ABT1",0.633999999999998,0.850474999999997
"10435","ENSMUSG00000036693",36.471095,38.357175,44.46448,38.639735,47.519995,53.195475,"NOP14",3.9966925,7.27787
"10768","ENSMUSG00000037563",737.71225,781.19765,902.73015,688.6682,896.4944,945.846,"RPS16",82.50895,128.5889
"11068","ENSMUSG00000038279",25.962392,26.9644125,30.12728,28.92028,30.182903,34.59831,"NOP2",2.082444,2.83901499999999
"11077","ENSMUSG00000038299",32.1024,33.89865,36.2414,36.0549,37.7485,43.0517,"WDR36",2.0695,3.4984
"11092","ENSMUSG00000038335",21.98758555,25.4239195,30.494014,23.8549705,28.271162,34.0827535,"TSR1",4.253214225,5.1138915
"11160","ENSMUSG00000038510",40.1998935,49.99041,61.115351,46.2354165,52.19141,67.91624,"RPF2",10.45772875,10.84041175
"11304","ENSMUSG00000038812",78.30084,92.224195,97.690785,68.555115,88.926035,100.902669,"TRMT112",9.69497249999999,16.173777
"11335","ENSMUSG00000038900",81.553095,90.25662,111.62634,81.0632995,100.02646,111.37039,"RPL12",15.0366225,15.15354525
"11368","ENSMUSG00000039001",1678.29371,1694.56325,1861.75201,1682.34668,1861.550725,1995.729175,"RPS21",91.72915,156.6912475
