FIB_slow1	FIB_slow2	FIB_slow3	FIB_slow4	FIB_m1	FIB_m2	FIB_fast1	FIB_fast2	FIB_fast3	FIB_fast4
ENSMUSG00000000325	1552.83314490391	1286.97281203188	1159.45174281276	1351.15073587839	1340.38477970335	1588.98407182101	1218.38708638032	1225.23859045298	1087.88858751693	1060.47178726794
ENSMUSG00000000326	4036.23481073284	3455.31731359877	4137.21434943356	4830.89797458905	3682.05699984373	4493.84620990375	3283.90740177404	3198.22527714219	3818.3710897388	3680.84850747117
ENSMUSG00000000339	1000.70761465205	892.238492594846	949.859605584239	1015.72282378482	955.816884891647	1173.10235256793	1090.97627697249	1131.09336957785	1310.88933271046	1168.70772678441
ENSMUSG00000000340	286.815808024191	295.799638360427	297.533351068747	270.669261059715	390.392983626595	464.546797691527	461.67716961144	534.116900642041	271.679455517248	266.988154451699
ENSMUSG00000000346	4233	3535	3963.10900630434	4457.93280604764	4915	5526	5852	5976	5387.61763664494	5236.33029258906
ENSMUSG00000000355	832	879	673	661	973	1075	996	1105	673	734
ENSMUSG00000000359	31	24	65	36	71	66	191	200	151	112
ENSMUSG00000000365	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000000374	3033	2611	3114.48908329281	3340.3698640648	3052	3312	3272	3388	3307.11217876768	3230.49348015649
ENSMUSG00000000378	1419	1193	1362	1302	1238	1411	1111	1075	1242	1124
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	856.183528017276	836.317173474177	1011.64630766215	1098.47514133661	1018.52284503057	1180.57530859314	1142.51460234889	1268.04522073428	1495.0780268795	1355.60278483835
ENSMUSG00000000385	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000000386	10.4392361487981	21.4854804629788	1	1	11.4689855643567	11.0975770045396	8.57788938668423	9.04776165684777	3	2.24091835893539
ENSMUSG00000000392	523.349401278043	439.382276121574	113.153498570306	156.115000210494	663.123298327148	758.381816587502	718.165475209415	594.04902131199	38.037594201262	69.0512448728698
ENSMUSG00000000394	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000000399	238.264065862692	151.366369662773	631.006694056032	515.296673626827	310.712961935395	451.997267364243	269.806978229023	0.0127484772924621	445.170716992155	706.395231775201
ENSMUSG00000000402	6.6496201528048	5.15510188357548	3.01996929974181	4.02464747271698	6.02041417826464	9.05584626618876	4.03619209157753	7.06349402308808	6.25897374922162	4.03275169849618
ENSMUSG00000000409	13	18	5	25	5	15	6	8	17	22
ENSMUSG00000000411	1	0	0	0	5	0	0	0	0	1
ENSMUSG00000000416	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000000420	3668	3231	3287	3363.03274541036	3535	3886	3755	4348	4331.6067573355	3960.25113177186
ENSMUSG00000000435	2	1	0	0	0	3	0	1	0	0
ENSMUSG00000000439	1437.09150822205	1311.69699422521	1114.42393803178	1099.50842607919	1310.63957868395	1591.60545216972	1344.36375345125	1356.9239128564	1026.99669410014	1040.7466350234
ENSMUSG00000000440	143.808486243582	106.348860789521	193.378424749259	154.942602108125	189.257961063147	149.403850804301	224.553186777464	168.926368633218	109.941914865101	55.3593711706744
ENSMUSG00000000441	3866.85631298786	3146.41308158012	3340.74575138027	3456.77885350508	3244.68835979946	3755.17763132767	3106.72488585805	2917.65579024827	2969.62949738384	2996.71994539731
ENSMUSG00000000486	8	7	13	10	8	7	18	18	20	14
ENSMUSG00000000489	131	108	341.490971664576	236.818445564106	172	195	305	336	569.026975635431	356.933982399108
ENSMUSG00000000530	6	10	50	38	19	19	22	18	31	7
ENSMUSG00000000531	347.016122703995	280.80122639799	453.463570587647	533.620594129596	369.266245852357	494.155393128085	525.994175716113	457.401164718092	460.216414274011	548.938292222787
ENSMUSG00000000532	423.283398108845	398.340841769795	363.008938279935	444.645794509904	473.311325402973	516.336512924019	565.368370677026	628.193969572534	419	488.048171499145
ENSMUSG00000000538	2086.56070040281	1754.79560943277	1714	1874	1811	2063	1683.77075950268	1658	1403	1469.90871486325
ENSMUSG00000000544	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000000552	454	406	43.4496483146251	110.909410391695	468	542	550	672	43.6712953544405	59.2432971561165
ENSMUSG00000000555	5001	4516	6900.99880148068	6134.69548151635	5574	7135	6418	7468	7222.42919320717	6740.25595718358
ENSMUSG00000000560	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	1457.17923299023	1526.71379768406	1405.7838471738	1505.60240382396	1912.0834434653	2130.66715008667	2283.32247266613	2358.81458685148	2203.69754006561	1965.06399610694
ENSMUSG00000000562	5.00016213446604	15.579630563791	13.0529711495264	8.05031325992151	12.902359463305	15.1086503212058	20.9021055913926	12.0914791474705	3.01440060748717	2.00498165687992
ENSMUSG00000000563	3994.95828611719	3731.11212749306	4321.50452961691	4646.14191556247	4293.01454607994	5141.96684723955	4754.48275023599	5166.20347991681	5868.92199588293	5422.47110747655
ENSMUSG00000000567	53.0392510966776	69.0634604361961	25	55	100	120	47.151628042228	86.08488177176	25	42.0221592296793
ENSMUSG00000000568	5649.37706545212	4898.00526860586	4260.51945073488	4010.43916403573	5781.31795824132	6462.90132620503	6434.17303207985	7056.04714048414	5441.42264193854	5033.25861109027
ENSMUSG00000000579	721.37737625245	721.923952690468	189.407353708356	226.999029361734	730.312936477818	799.677956699413	895.251627187631	928.128402944862	197.110232800787	256.046918107399
ENSMUSG00000000581	1211	1077	878	914	1154	1361	1145	1309	1077	901
ENSMUSG00000000594	161	185	150	228	220	282	262	255	132	153
ENSMUSG00000000600	1195.81298131541	1085.98182101778	766.832200141587	987.099956036622	1182.08131226436	1325.11392819048	1053.15827664958	1121.60725274193	705.132040528958	794.692606451567
ENSMUSG00000000605	2026.37533717025	1837.01767646047	1480.52094693311	1621.25793455903	2157.73278715367	2410.22470185431	2291.21500619885	2421.436462576	1426.72267647402	1463.92397205387
ENSMUSG00000000606	2	0	0	0	0	0	0	2	0	0
ENSMUSG00000000617	1	1	0	4	1	1	2	0	3	1
ENSMUSG00000000627	8.1485381187149	6.01524728726713	0	7.02056120702169	1.00333433402629	3.35149799844756	2.00173250375006	3.60525292275005	2.36136199899916	3.22011575419156
ENSMUSG00000000628	557.078229905396	573.16618390089	490.193726068649	384.971000929392	547.017461043647	655.251645581561	550.926841265867	674.588748255374	583	431.016395274915
ENSMUSG00000000631	2361.80735784789	2108.71398354957	1999.34203626752	2278.69462592716	2390.43448819488	2837.30834728948	2424.16142866915	2799.2630466084	2476.98033025131	2742.9593874578
ENSMUSG00000000632	6.3501561141686	11.1234804887493	1.00293282188356	2.00435723712842	7.10133690424245	2.45404082472912	7.55838302357511	11.1317276851027	0	1
ENSMUSG00000000673	1	4	4	6	2	2	3	1	1	4
ENSMUSG00000000682	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000686	71.3514452724996	40.9130927060646	42.4439001757394	50.8099803893621	41.1799308014588	42.0865703072496	46	35.2117102311557	36	38
ENSMUSG00000000690	460.364263260045	453.331865898433	333.990659861092	415.95975796284	481.467322807253	547.737824559627	417.782492370747	396.972213756464	282.495947677674	358.673991726863
ENSMUSG00000000693	3520.82448916983	2909.82198255854	4151.73850954742	5748.93557157769	3987.96768844503	4973.66813683635	5134.52035436722	5213.15087960481	6507.48584400734	6959.41449415934
ENSMUSG00000000701	1	0	0	0	0	0	0	1	0	0
ENSMUSG00000000706	1.041368708821	2.20202030391893	0	1.04773572670346	0	1.00880987560435	2.19032096678366	7.08337927766414	2.01225460616489	0
ENSMUSG00000000708	2211	1866.94286695223	1461	1422	1724	1895	1259	1420	729	857
ENSMUSG00000000711	4747	4160	3509.46620378778	4124.05932179462	4870	5459.63717682512	4597	4479.31234244322	3405.4287831224	3746.85601847304
ENSMUSG00000000724	5.02037186179903	4.04199888927658	8.06913849500035	1.00470821720773	8.03328083999378	8.24778208496878	1.02650237524104	6.15383680654642	5.00243957597148	4.0095879146728
ENSMUSG00000000730	16	33	21	17	48	41	38	22	11	13
ENSMUSG00000000731	18.7875577653235	12.3518830671614	7.42726718729819	1.42050807644929	19.3701344403894	7.24716702595745	15.5240901792864	5.72276251251384	3.95885221925552	4.70906003576044
ENSMUSG00000000732	505	355	268.750044803911	232.828754784322	407	383	317	303	108.108112901712	87.3358533875261
ENSMUSG00000000738	2197.09121865792	1857.64081219666	2025.5732048603	2310.58564712368	1820.22661287462	2061.93523605371	1743.69764918862	1716.06895192949	1615.8216982104	1860.80362835687
ENSMUSG00000000739	1	0	15.3872322486533	19.3037477055569	3	0	0	0	8.951142709809	15.2822596317374
ENSMUSG00000000740	11264.8141344252	9011.70134719368	9757.04855951337	11262.1289295723	11944.0478864513	14601.9410866614	13848.534027036	13894.9432747388	17132.5281176476	15324.3456688034
ENSMUSG00000000743	2145.84401889894	1806.84511347078	1904.81432025769	2304.66576205614	2078.44465041255	2541.90579707115	2053.76029678571	1952.14122293525	2026.90627688821	1980.83913710784
ENSMUSG00000000751	5476	4704.96829241534	4712	4946	4312	4769.05185655609	4041	4175.18308358238	5190.08474394108	4589
ENSMUSG00000000753	25429	20528	16833	19572	23686	26968	19156	17608	10726	13524
ENSMUSG00000000759	2468.90858061872	2052.39227421483	1867.99200550648	2142.41527956525	1926.6776371351	2133.47616605863	1626.06033964215	1700.95104363397	1490.93628897206	1454.79647752511
ENSMUSG00000000766	0	0	0	0	4	0	1	0	0	0
ENSMUSG00000000776	794	733	758.681026328755	781.205197053689	839	1127	898	1030	1049.99917896569	811.958985934504
ENSMUSG00000000782	56	55	99	95	77	93	81	131	147	147
ENSMUSG00000000787	16229	14944.9985988442	11107	10301	17054	19282.9999351868	18177.9988647573	21320.9988949406	12158	11200
ENSMUSG00000000791	46	33	10.8740219010444	11.1467233937552	66	53	85	93	100.500782976711	179.300019526177
ENSMUSG00000000792	0	4	2	2	3	2	8	4	4	3
ENSMUSG00000000794	1	0	1	2	8	5	13	11	5	5
ENSMUSG00000000804	1484	1431	1156	1231	1524	1690	1400	1614	986	1088
ENSMUSG00000000805	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000811	395	373	361	352	374	466	394	398	416	370
ENSMUSG00000000817	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000823	2726.35521595435	2475.19392087154	1496.33423553455	1810.273075809	2099.12490912539	2363.4240908223	1551.0012030636	1683.58133062357	1330.88997089146	1557.25698191746
ENSMUSG00000000826	4282	3807	3618	3613	4173	4942	4221	4383	3960	3784
ENSMUSG00000000827	2929.47814846174	2500.93589316702	2362	2556	2866.29651021555	3408.05847441127	2839.83252743355	2888.85092045578	2692	2637
ENSMUSG00000000838	3752.46106951979	3312.00715566586	2358.1673051591	2419.27519641184	3903.56447095759	3790.89049582745	4124.34068657308	5320.39481912211	2133.26258851055	2073.23511309807
ENSMUSG00000000861	2.00312606522085	1	0	2.13323659194917	1.00186424343216	1.00071411209735	1	0	0	1.08454022241365
ENSMUSG00000000869	41	24	7	12	24	32	31	40	11	12
ENSMUSG00000000876	721.809865296512	633.610133892499	568.532697700843	668.004105143943	680.610907782608	762.736115075087	570.877501024511	620.439078191356	573.142752390889	685.394171987695
ENSMUSG00000000881	1789	1529	1358	1557	1694	2024	1877	1858	1212	1167
ENSMUSG00000000884	227.625185311801	200.660967916994	248.499084999501	171.056341948074	239.3088605918	210.792516175459	190.160183330252	158.007738890852	205.655103419402	191.909226561449
ENSMUSG00000000889	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901	4492	3607	3213	3829	4538	4985	4792	4355	3366	3606.35426356879
ENSMUSG00000000902	3364.07933926188	3007.98460582948	3770.1332802199	4183.35887926789	3686.21851476841	4311.46822419263	4128.69057840969	4218.88434528273	4763.05582394663	4570.22168445993
ENSMUSG00000000903	0	0	0	2	3	0	0	0	0	0
ENSMUSG00000000915	599.019499185723	590.575479492857	605.669984342953	654.718781825824	580.742590144788	684.486951795904	532.924730807194	547.908179203	413.760216718214	449.549681565406
ENSMUSG00000000916	499.952551563126	404.824611106328	577.784635028274	487.018949380649	472.356040316153	596.370829994102	629.394205604378	663.467831036993	633.607059540284	480.915829634928
ENSMUSG00000000934	391	315.878997778789	411	423.698045232036	371	439	416.986367217204	421.986598597782	508.272498494735	422.696585806888
ENSMUSG00000000938	1891	1502	1472	1343	1612	1658	1367	1349	1304	1127
ENSMUSG00000000942	22.8801734995478	7	10	12.9408051473434	4	11	4	4	7	6
ENSMUSG00000000948	44.1037754345688	24.1597828257433	32.9827731365166	25.7956586199783	44.7325799097925	40.2316141353169	51.2770428270955	61.1341957960121	28.9627378285206	32.8792278094871
ENSMUSG00000000957	19068.3900404416	16529.5115896913	16328.0155323977	19243.0308616161	18889.286427756	21884.7823701658	17372.046951169	16762.3246295743	14922.9772745079	15848.3121540785
ENSMUSG00000000958	0	0	0	0	0	0	11.0867082121088	0	0	0
ENSMUSG00000000959	921.532572949468	681.660482659343	656.317912196608	905.131940890602	946.680291417095	1136.10673735601	1106.72513834313	956.246445283215	977.782265610953	1169.59522636404
ENSMUSG00000000976	862.085155930667	718.678604799016	714.758579922933	821.113746596093	804.465029386806	917.882488508978	870.053180870061	921.444072456054	657.994034721117	769.695169533085
ENSMUSG00000000982	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000983	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001014	2	0	0	1	3	6	2	7	0	0
