FIB_high_1	FIB_low_1	FIB_low_2	FIB_high_3	FIB_low_3	FIB_high_4	FIB_low_4
ENSMUSG00000001521	2105.24733219572	1948.42768300324	2370.09296685124	2147.9967649567	2263.57137495529	2021.4434338919	2100.54087753594
ENSMUSG00000001524	805	855	777	725	707	704	651
ENSMUSG00000001525	47801.295380681	37597.3587675363	35976.571181413	44471.3932055339	32863.8921133813	36391.3072999828	30801.0360421541
ENSMUSG00000001542	1623.89757424929	828.031674608812	766.402823609961	1703.76071124926	1347.35188156283	1841.89391386317	1316.16525415814
ENSMUSG00000001552	2306.66766034475	1400	2614.43547274187	3079.60411428488	2634	2965.54658815122	2474.90383181692
ENSMUSG00000001555	10176.5137598645	9633.47843669329	12801.1254622354	9151.68209191304	9908.4030476854	8905.08589880919	9552.73717703168
ENSMUSG00000001558	18	9	19	25	27	20	41
ENSMUSG00000001566	0	0	0	0	0	0	0
ENSMUSG00000001569	1243.68058518108	1291.24079589875	1290.6921029211	1235.39672225317	1303.86970544787	1185.41588580364	1183.7937207293
ENSMUSG00000001576	15397	13478	13363	10480	9949	9600	9309
ENSMUSG00000001583	2.16625504029188	5.14908945107164	3.34514557235563	1.02603328097305	9.50048636131965	3.17722374929981	6.44588258566338
ENSMUSG00000001588	3	5	2	3	5	3	5
ENSMUSG00000001604	29	46	74	59	149	69	134
ENSMUSG00000001622	0	0	0	1.37196358916186	0	0	2.67701329463417
ENSMUSG00000001627	3159.03764889458	3111.97484300348	2577.21254545785	2709.78240520852	2763.78720234356	2223.94308701586	2146.90610493187
ENSMUSG00000001630	378.575380730403	296.764979860242	312.501924812525	395.016449840682	347.00360483094	480.304873264773	405.127772928615
ENSMUSG00000001632	909.223361991216	740.132231472725	1218.79697766552	1226.5936407884	1345.22122662322	1085.42050529941	1000.0740903797
ENSMUSG00000001642	1990.41780428355	2213.46395614988	1982.79627758816	1103.92935228834	1200.78545186925	1142.07603737397	1232.36993019298
ENSMUSG00000001655	2083	1849	2489	2600	3101	2649	2773
ENSMUSG00000001656	1920	1743	1663	2366	2765	1836	1930
ENSMUSG00000001657	116.301077516607	84.3483481445386	24.2755235515495	118.767397277064	98.0803227745003	114.4328949705	124.797157548804
ENSMUSG00000001661	156	163	108	290	326	210	240
ENSMUSG00000001663	236	145	191	553	410	637	572
ENSMUSG00000001665	21.3265499947801	11.7884224469049	31.2803682173536	87.5203556473767	50.8421955445614	42.8549383506651	34.467737833633
ENSMUSG00000001666	671	627	676	831	608	955	790
ENSMUSG00000001670	0	0	0	0	0	0	0
